gene,transcript,protein
FBgn0037217.1,FBtr0111206.1,FBpp0110558.1
FBgn0037217.1,FBtr0078988.1,FBpp0078627.1
FBgn0037218.1,FBtr0078965.1,FBpp0078604.1
FBgn0037218.1,FBtr0336705.1,FBpp0307686.1
FBgn0037218.1,FBtr0336706.1,FBpp0307687.1
FBgn0037218.1,FBtr0078966.1,FBpp0078605.1
FBgn0051516.1,FBtr0078987.1,FBpp0078626.1
FBgn0261436.1,FBtr0078986.1,FBpp0078625.1
FBgn0037220.1,FBtr0078985.1,FBpp0078624.1
FBgn0015331.1,FBtr0078967.1,FBpp0078606.1
FBgn0010225.1,FBtr0078973.1,FBpp0078612.1
FBgn0010225.1,FBtr0336707.1,FBpp0307688.1
FBgn0010225.1,FBtr0309256.1,FBpp0301195.1
FBgn0010225.1,FBtr0078969.1,FBpp0078608.1
FBgn0010225.1,FBtr0078968.1,FBpp0078607.1
FBgn0010225.1,FBtr0078971.1,FBpp0078610.1
FBgn0010225.1,FBtr0309257.1,FBpp0301196.1
FBgn0037222.1,FBtr0309258.1,FBpp0301197.1
FBgn0037222.1,FBtr0089688.1,FBpp0088630.1
FBgn0037222.1,FBtr0089687.1,FBpp0088629.1
FBgn0085334.1,FBtr0112501.1,FBpp0111414.1
FBgn0037223.1,FBtr0113190.1,
FBgn0037224.1,FBtr0078975.1,FBpp0078614.1
FBgn0037225.1,FBtr0346145.1,FBpp0311973.1
FBgn0037225.1,FBtr0078982.1,FBpp0078621.1
FBgn0037225.1,FBtr0336709.1,FBpp0307690.1
FBgn0250821.1,FBtr0336708.1,FBpp0307689.1
FBgn0250821.1,FBtr0078981.1,FBpp0078620.1
FBgn0037227.1,FBtr0078976.1,FBpp0078615.1
FBgn0041621.1,FBtr0078977.1,FBpp0078616.1
FBgn0037228.1,FBtr0336480.1,FBpp0307583.1
FBgn0037228.1,FBtr0336481.1,FBpp0307584.1
FBgn0037229.1,FBtr0113191.1,FBpp0112103.1
FBgn0267157.1,FBtr0346235.1,
FBgn0041605.1,FBtr0078897.1,FBpp0078537.1
FBgn0041605.1,FBtr0336482.1,FBpp0307585.1
FBgn0041605.1,FBtr0301769.1,FBpp0290983.1
FBgn0041605.1,FBtr0078899.1,FBpp0078539.1
FBgn0041605.1,FBtr0301768.1,FBpp0290982.1
FBgn0041605.1,FBtr0078898.1,FBpp0078538.1
FBgn0041605.1,FBtr0078902.1,FBpp0078542.1
FBgn0041605.1,FBtr0078900.1,FBpp0078540.1
FBgn0041605.1,FBtr0301770.1,FBpp0290984.1
FBgn0041605.1,FBtr0113338.1,FBpp0112250.1
FBgn0041605.1,FBtr0113340.1,FBpp0112252.1
FBgn0041605.1,FBtr0300789.1,FBpp0290013.1
FBgn0041605.1,FBtr0301771.1,FBpp0290985.1
FBgn0041605.1,FBtr0113341.1,FBpp0112253.1
FBgn0041605.1,FBtr0301772.1,FBpp0290986.1
FBgn0041605.1,FBtr0078901.1,FBpp0078541.1
FBgn0041605.1,FBtr0113337.1,FBpp0112249.1
FBgn0041605.1,FBtr0310614.1,FBpp0302734.1
FBgn0041605.1,FBtr0310506.1,FBpp0302644.1
FBgn0041605.1,FBtr0100500.1,FBpp0099938.1
FBgn0041605.1,FBtr0100499.1,FBpp0099936.1
FBgn0037230.1,FBtr0078959.1,FBpp0078599.1
FBgn0262214.1,FBtr0304264.1,
FBgn0262214.1,FBtr0304265.1,
FBgn0027930.1,FBtr0300936.1,FBpp0290158.1
FBgn0027930.1,FBtr0078903.1,FBpp0078543.1
FBgn0037231.1,FBtr0078958.1,FBpp0078598.1
FBgn0037232.1,FBtr0273009.1,FBpp0271517.1
FBgn0261086.1,FBtr0336485.1,FBpp0307588.1
FBgn0261086.1,FBtr0078957.1,FBpp0078597.1
FBgn0261086.1,FBtr0339551.1,FBpp0308634.1
FBgn0037234.1,FBtr0336484.1,FBpp0307587.1
FBgn0037234.1,FBtr0100617.1,FBpp0100077.1
FBgn0037234.1,FBtr0336483.1,FBpp0307586.1
FBgn0037234.1,FBtr0078907.1,FBpp0078547.1
FBgn0027866.1,FBtr0078955.1,FBpp0078595.1
FBgn0027866.1,FBtr0078956.1,FBpp0078596.1
FBgn0037236.1,FBtr0078953.1,FBpp0078593.1
FBgn0037236.1,FBtr0344740.1,FBpp0311072.1
FBgn0040687.1,FBtr0078908.1,FBpp0078548.1
FBgn0037235.1,FBtr0078909.1,FBpp0078549.1
FBgn0037235.1,FBtr0111220.1,FBpp0110463.1
FBgn0261434.1,FBtr0078951.1,FBpp0078591.1
FBgn0037238.1,FBtr0335202.1,FBpp0307189.1
FBgn0037238.1,FBtr0335201.1,FBpp0307188.1
FBgn0037238.1,FBtr0332449.1,FBpp0304722.1
FBgn0037238.1,FBtr0335203.1,FBpp0307190.1
FBgn0266227.1,FBtr0343890.1,
FBgn0037239.1,FBtr0078913.1,FBpp0078553.1
FBgn0037239.1,FBtr0078914.1,FBpp0078554.1
FBgn0037239.1,FBtr0078915.1,FBpp0078555.1
FBgn0037239.1,FBtr0078916.1,FBpp0078556.1
FBgn0037240.1,FBtr0078917.1,FBpp0078557.1
FBgn0003882.1,FBtr0302338.1,FBpp0291542.1
FBgn0037241.1,FBtr0302339.1,FBpp0291543.1
FBgn0037241.1,FBtr0078919.1,FBpp0078559.1
FBgn0086608.1,FBtr0308807.1,FBpp0300964.1
FBgn0086608.1,FBtr0308808.1,FBpp0300965.1
FBgn0086608.1,FBtr0308809.1,FBpp0300966.1
FBgn0086608.1,FBtr0110805.1,FBpp0110102.1
FBgn0267661.1,FBtr0347125.1,
FBgn0267661.1,FBtr0347124.1,
FBgn0037242.1,FBtr0339552.1,FBpp0308635.1
FBgn0037242.1,FBtr0078950.1,FBpp0078590.1
FBgn0086605.1,FBtr0344215.1,FBpp0310621.1
FBgn0086605.1,FBtr0078949.1,FBpp0078589.1
FBgn0086605.1,FBtr0113192.1,FBpp0112104.1
FBgn0037244.1,FBtr0290222.1,FBpp0288661.1
FBgn0266697.1,FBtr0345153.1,
FBgn0263594.1,FBtr0078921.1,FBpp0078561.1
FBgn0052944.1,FBtr0290249.1,FBpp0288688.1
FBgn0052944.1,FBtr0339973.1,FBpp0308994.1
FBgn0052944.1,FBtr0290250.1,FBpp0288689.1
FBgn0051528.1,FBtr0078923.1,FBpp0078563.1
FBgn0037248.1,FBtr0078946.1,FBpp0078586.1
FBgn0037248.1,FBtr0301244.1,FBpp0290462.1
FBgn0037248.1,FBtr0336458.1,FBpp0307564.1
FBgn0051525.1,FBtr0078924.1,FBpp0078564.1
FBgn0037249.1,FBtr0346646.1,FBpp0312226.1
FBgn0037249.1,FBtr0078944.1,FBpp0078584.1
FBgn0037250.1,FBtr0078925.1,FBpp0078565.1
FBgn0037251.1,FBtr0078943.1,FBpp0078583.1
FBgn0037251.1,FBtr0346735.1,FBpp0312343.1
FBgn0264983.1,FBtr0335428.1,
FBgn0037252.1,FBtr0078926.1,FBpp0078566.1
FBgn0051522.1,FBtr0306343.1,FBpp0297436.1
FBgn0051522.1,FBtr0335432.1,FBpp0307413.1
FBgn0051522.1,FBtr0078941.1,FBpp0078581.1
FBgn0051522.1,FBtr0306344.1,FBpp0297437.1
FBgn0051522.1,FBtr0078939.1,FBpp0078579.1
FBgn0051522.1,FBtr0078942.1,FBpp0078582.1
FBgn0051522.1,FBtr0335431.1,FBpp0307412.1
FBgn0263620.1,FBtr0345149.1,
FBgn0263620.1,FBtr0345148.1,
FBgn0263620.1,FBtr0309986.1,
FBgn0051523.1,FBtr0335430.1,FBpp0307411.1
FBgn0051523.1,FBtr0335429.1,FBpp0307410.1
FBgn0051523.1,FBtr0345142.1,FBpp0311363.1
FBgn0051523.1,FBtr0078938.1,FBpp0078578.1
FBgn0051523.1,FBtr0078935.1,FBpp0078575.1
FBgn0051523.1,FBtr0078936.1,FBpp0078576.1
FBgn0051523.1,FBtr0078937.1,FBpp0078577.1
FBgn0037254.1,FBtr0299947.1,FBpp0289224.1
FBgn0037255.1,FBtr0078928.1,FBpp0078568.1
FBgn0085386.1,FBtr0335239.1,FBpp0307226.1
FBgn0085386.1,FBtr0303867.1,FBpp0292870.1
FBgn0085386.1,FBtr0112568.1,FBpp0111480.1
FBgn0085454.1,FBtr0112726.1,FBpp0111638.1
FBgn0051526.1,FBtr0078929.1,FBpp0078569.1
FBgn0051526.1,FBtr0303865.1,FBpp0292868.1
FBgn0037260.1,FBtr0303866.1,FBpp0292869.1
FBgn0052945.1,FBtr0078896.1,FBpp0078536.1
FBgn0267118.1,FBtr0346214.1,
FBgn0265376.1,FBtr0339605.1,
FBgn0265376.1,FBtr0339604.1,
FBgn0087012.1,FBtr0078855.1,FBpp0078495.1
FBgn0087012.1,FBtr0300474.1,FBpp0289701.1
FBgn0087012.1,FBtr0339397.1,FBpp0308489.1
FBgn0087012.1,FBtr0078854.1,FBpp0078494.1
FBgn0087012.1,FBtr0339395.1,FBpp0308487.1
FBgn0267233.1,FBtr0346413.1,
FBgn0037261.1,FBtr0078895.1,FBpp0078535.1
FBgn0037261.1,FBtr0301297.1,FBpp0290512.1
FBgn0037261.1,FBtr0336457.1,FBpp0307563.1
FBgn0037261.1,FBtr0078894.1,FBpp0078534.1
FBgn0037262.1,FBtr0345249.1,FBpp0311426.1
FBgn0037262.1,FBtr0078856.1,FBpp0078496.1
FBgn0037262.1,FBtr0305312.1,FBpp0293855.1
FBgn0037262.1,FBtr0078857.1,FBpp0078497.1
FBgn0037262.1,FBtr0336456.1,FBpp0307562.1
FBgn0037263.1,FBtr0301296.1,FBpp0290511.1
FBgn0040466.1,FBtr0078893.1,FBpp0078533.1
FBgn0022981.1,FBtr0305313.1,FBpp0293856.1
FBgn0022981.1,FBtr0078859.1,FBpp0078499.1
FBgn0265038.1,FBtr0336465.1,
FBgn0087013.1,FBtr0078860.1,FBpp0078500.1
FBgn0087013.1,FBtr0336462.1,FBpp0307568.1
FBgn0037265.1,FBtr0078861.1,FBpp0078501.1
FBgn0037265.1,FBtr0308820.1,FBpp0300977.1
FBgn0263346.1,FBtr0308857.1,FBpp0301012.1
FBgn0263346.1,FBtr0308856.1,FBpp0301011.1
FBgn0263346.1,FBtr0308852.1,FBpp0301007.1
FBgn0263346.1,FBtr0308858.1,FBpp0301013.1
FBgn0263346.1,FBtr0308850.1,FBpp0301005.1
FBgn0263346.1,FBtr0308851.1,FBpp0301006.1
FBgn0263346.1,FBtr0308849.1,FBpp0301004.1
FBgn0263346.1,FBtr0308855.1,FBpp0301010.1
FBgn0263346.1,FBtr0308854.1,FBpp0301009.1
FBgn0263346.1,FBtr0308853.1,FBpp0301008.1
FBgn0265039.1,FBtr0336464.1,
FBgn0265040.1,FBtr0336463.1,
FBgn0053927.1,FBtr0091931.1,FBpp0091165.1
FBgn0037270.1,FBtr0078892.1,FBpp0078532.1
FBgn0266228.1,FBtr0343891.1,
FBgn0027570.1,FBtr0333922.1,FBpp0306050.1
FBgn0027570.1,FBtr0305133.1,FBpp0293663.1
FBgn0027570.1,FBtr0078891.1,FBpp0078531.1
FBgn0026620.1,FBtr0302616.1,FBpp0291772.1
FBgn0026620.1,FBtr0302613.1,FBpp0291769.1
FBgn0026620.1,FBtr0302615.1,FBpp0291771.1
FBgn0026620.1,FBtr0332446.1,FBpp0304719.1
FBgn0026620.1,FBtr0089951.1,FBpp0088890.1
FBgn0026620.1,FBtr0089955.1,FBpp0088894.1
FBgn0026620.1,FBtr0306654.1,FBpp0297609.1
FBgn0026620.1,FBtr0089950.1,FBpp0088889.1
FBgn0026620.1,FBtr0332445.1,FBpp0304718.1
FBgn0026620.1,FBtr0089949.1,FBpp0088888.1
FBgn0026620.1,FBtr0089953.1,FBpp0088892.1
FBgn0026620.1,FBtr0302614.1,FBpp0291770.1
FBgn0026620.1,FBtr0089952.1,FBpp0088891.1
FBgn0010750.1,FBtr0334899.1,FBpp0306920.1
FBgn0010750.1,FBtr0078868.1,FBpp0078508.1
FBgn0264907.1,FBtr0334965.1,FBpp0306978.1
FBgn0264907.1,FBtr0334964.1,FBpp0306977.1
FBgn0264907.1,FBtr0334966.1,FBpp0306979.1
FBgn0264907.1,FBtr0345143.1,FBpp0311364.1
FBgn0264897.1,FBtr0334905.1,FBpp0306926.1
FBgn0037275.1,FBtr0078881.1,FBpp0078521.1
FBgn0037276.1,FBtr0078880.1,FBpp0078520.1
FBgn0260794.1,FBtr0334902.1,FBpp0306923.1
FBgn0260794.1,FBtr0344029.1,FBpp0310478.1
FBgn0260794.1,FBtr0334903.1,FBpp0306924.1
FBgn0260794.1,FBtr0303917.1,FBpp0292920.1
FBgn0260794.1,FBtr0303911.1,FBpp0292914.1
FBgn0260794.1,FBtr0344030.1,FBpp0310479.1
FBgn0260794.1,FBtr0303915.1,FBpp0292918.1
FBgn0260794.1,FBtr0303914.1,FBpp0292917.1
FBgn0260794.1,FBtr0303912.1,FBpp0292915.1
FBgn0260794.1,FBtr0301437.1,FBpp0290652.1
FBgn0260794.1,FBtr0344028.1,FBpp0310477.1
FBgn0026417.1,FBtr0334904.1,FBpp0306925.1
FBgn0026417.1,FBtr0078876.1,FBpp0078516.1
FBgn0037279.1,FBtr0345175.1,FBpp0311384.1
FBgn0037279.1,FBtr0078870.1,FBpp0078510.1
FBgn0037279.1,FBtr0078871.1,FBpp0078511.1
FBgn0037279.1,FBtr0345174.1,FBpp0311383.1
FBgn0037280.1,FBtr0078872.1,FBpp0078512.1
FBgn0037282.1,FBtr0334900.1,FBpp0306921.1
FBgn0037282.1,FBtr0334901.1,FBpp0306922.1
FBgn0037282.1,FBtr0078875.1,FBpp0078515.1
FBgn0037283.1,FBtr0078874.1,FBpp0078514.1
FBgn0037284.1,FBtr0078873.1,FBpp0078513.1
FBgn0003002.1,FBtr0078836.1,FBpp0078477.1
FBgn0020280.1,FBtr0345252.1,FBpp0311429.1
FBgn0020280.1,FBtr0078852.1,FBpp0078492.1
FBgn0267140.1,FBtr0346254.1,
FBgn0004913.1,FBtr0100159.1,FBpp0099511.1
FBgn0004913.1,FBtr0078837.1,FBpp0078478.1
FBgn0265082.1,FBtr0336809.1,FBpp0307778.1
FBgn0265082.1,FBtr0336811.1,FBpp0307780.1
FBgn0265082.1,FBtr0336810.1,FBpp0307779.1
FBgn0265082.1,FBtr0336812.1,FBpp0307781.1
FBgn0266698.1,FBtr0345154.1,
FBgn0004183.1,FBtr0078851.1,
FBgn0004436.1,FBtr0078849.1,FBpp0078490.1
FBgn0004436.1,FBtr0306106.1,FBpp0297243.1
FBgn0037288.1,FBtr0305965.1,FBpp0297107.1
FBgn0037288.1,FBtr0078848.1,FBpp0078489.1
FBgn0250839.1,FBtr0305963.1,FBpp0297105.1
FBgn0250839.1,FBtr0305964.1,FBpp0297106.1
FBgn0250839.1,FBtr0078847.1,FBpp0078488.1
FBgn0250839.1,FBtr0335404.1,FBpp0307387.1
FBgn0037290.1,FBtr0078841.1,FBpp0078482.1
FBgn0037291.1,FBtr0078846.1,FBpp0078487.1
FBgn0263455.1,FBtr0309311.1,
FBgn0263343.1,FBtr0308777.1,
FBgn0037292.1,FBtr0301312.1,FBpp0290527.1
FBgn0267145.1,FBtr0346249.1,
FBgn0263626.1,FBtr0309991.1,
FBgn0267148.1,FBtr0346246.1,
FBgn0010313.1,FBtr0308119.1,FBpp0300441.1
FBgn0010313.1,FBtr0308118.1,FBpp0300440.1
FBgn0010313.1,FBtr0308120.1,FBpp0300442.1
FBgn0010313.1,FBtr0345141.1,FBpp0311362.1
FBgn0010313.1,FBtr0078844.1,FBpp0078485.1
FBgn0262605.1,FBtr0305279.1,FBpp0293822.1
FBgn0037293.1,FBtr0078842.1,FBpp0078483.1
FBgn0040684.1,FBtr0078843.1,FBpp0078484.1
FBgn0040684.1,FBtr0339317.1,FBpp0308421.1
FBgn0040684.1,FBtr0339316.1,FBpp0308420.1
FBgn0037295.1,FBtr0339315.1,FBpp0308419.1
FBgn0037295.1,FBtr0110950.1,FBpp0110250.1
FBgn0037294.1,FBtr0078773.1,FBpp0078420.1
FBgn0259212.1,FBtr0299709.1,FBpp0288987.1
FBgn0259212.1,FBtr0300525.1,FBpp0289752.1
FBgn0259212.1,FBtr0334913.1,FBpp0306934.1
FBgn0259212.1,FBtr0334910.1,FBpp0306931.1
FBgn0259212.1,FBtr0334912.1,FBpp0306933.1
FBgn0259212.1,FBtr0334911.1,FBpp0306932.1
FBgn0259212.1,FBtr0299710.1,FBpp0288988.1
FBgn0263018.1,FBtr0306791.1,
FBgn0037296.1,FBtr0078831.1,FBpp0078473.1
FBgn0037297.1,FBtr0078775.1,FBpp0078422.1
FBgn0037297.1,FBtr0078774.1,FBpp0078421.1
FBgn0037297.1,FBtr0334907.1,FBpp0306928.1
FBgn0037298.1,FBtr0078830.1,FBpp0078472.1
FBgn0037298.1,FBtr0078829.1,FBpp0078471.1
FBgn0037298.1,FBtr0078828.1,FBpp0078470.1
FBgn0040682.1,FBtr0346146.1,FBpp0311974.1
FBgn0040682.1,FBtr0305000.1,FBpp0293537.1
FBgn0040682.1,FBtr0334908.1,FBpp0306929.1
FBgn0037299.1,FBtr0078777.1,FBpp0078424.1
FBgn0037299.1,FBtr0305002.1,FBpp0293539.1
FBgn0037299.1,FBtr0305001.1,FBpp0293538.1
FBgn0040208.1,FBtr0078827.1,FBpp0078469.1
FBgn0040208.1,FBtr0334909.1,FBpp0306930.1
FBgn0037301.1,FBtr0078778.1,FBpp0078425.1
FBgn0087005.1,FBtr0078825.1,FBpp0078467.1
FBgn0260462.1,FBtr0078823.1,FBpp0078465.1
FBgn0260462.1,FBtr0078822.1,FBpp0078464.1
FBgn0260462.1,FBtr0303994.1,FBpp0292963.1
FBgn0053293.1,FBtr0078824.1,FBpp0078466.1
FBgn0264789.1,FBtr0334326.1,
FBgn0264789.1,FBtr0334325.1,
FBgn0037304.1,FBtr0332428.1,FBpp0304701.1
FBgn0037304.1,FBtr0078779.1,FBpp0078426.1
FBgn0037305.1,FBtr0078821.1,FBpp0078463.1
FBgn0264785.1,FBtr0334276.1,FBpp0306391.1
FBgn0264785.1,FBtr0344333.1,FBpp0310716.1
FBgn0264785.1,FBtr0334274.1,FBpp0306389.1
FBgn0264785.1,FBtr0334275.1,FBpp0306390.1
FBgn0037307.1,FBtr0078820.1,FBpp0078462.1
FBgn0267443.1,FBtr0346781.1,
FBgn0266393.1,FBtr0344334.1,
FBgn0013576.1,FBtr0078814.1,FBpp0078457.1
FBgn0013576.1,FBtr0078817.1,FBpp0078460.1
FBgn0013576.1,FBtr0078810.1,FBpp0078453.1
FBgn0013576.1,FBtr0273430.1,FBpp0271938.1
FBgn0013576.1,FBtr0100197.1,FBpp0099567.1
FBgn0013576.1,FBtr0078813.1,FBpp0078456.1
FBgn0013576.1,FBtr0078815.1,FBpp0078458.1
FBgn0013576.1,FBtr0078811.1,FBpp0078454.1
FBgn0013576.1,FBtr0308580.1,FBpp0300804.1
FBgn0013576.1,FBtr0273433.1,FBpp0271941.1
FBgn0013576.1,FBtr0078818.1,FBpp0089229.1
FBgn0013576.1,FBtr0273431.1,FBpp0271939.1
FBgn0013576.1,FBtr0333695.1,FBpp0305848.1
FBgn0013576.1,FBtr0110932.1,FBpp0110232.1
FBgn0013576.1,FBtr0308581.1,FBpp0300805.1
FBgn0013576.1,FBtr0110933.1,FBpp0110233.1
FBgn0013576.1,FBtr0306694.1,FBpp0297633.1
FBgn0013576.1,FBtr0306695.1,FBpp0297634.1
FBgn0013576.1,FBtr0273434.1,FBpp0271942.1
FBgn0013576.1,FBtr0100199.1,FBpp0099569.1
FBgn0013576.1,FBtr0078812.1,FBpp0078455.1
FBgn0013576.1,FBtr0273432.1,FBpp0271940.1
FBgn0013576.1,FBtr0078816.1,FBpp0078459.1
FBgn0013576.1,FBtr0333694.1,FBpp0305847.1
FBgn0051538.1,FBtr0078819.1,FBpp0078461.1
FBgn0037310.1,FBtr0078784.1,FBpp0078430.1
FBgn0037312.1,FBtr0078807.1,FBpp0078450.1
FBgn0037313.1,FBtr0335000.1,FBpp0307009.1
FBgn0037313.1,FBtr0078785.1,FBpp0078431.1
FBgn0250746.1,FBtr0078805.1,FBpp0078448.1
FBgn0250746.1,FBtr0078806.1,FBpp0078449.1
FBgn0037315.1,FBtr0078804.1,FBpp0078447.1
FBgn0037315.1,FBtr0078803.1,FBpp0078446.1
FBgn0264912.1,FBtr0335001.1,
FBgn0085306.1,FBtr0332160.1,FBpp0304469.1
FBgn0085306.1,FBtr0346517.1,FBpp0312135.1
FBgn0051542.1,FBtr0332159.1,FBpp0304468.1
FBgn0051542.1,FBtr0078786.1,FBpp0078432.1
FBgn0003275.1,FBtr0078787.1,FBpp0078433.1
FBgn0086695.1,FBtr0078802.1,FBpp0078445.1
FBgn0037317.1,FBtr0100433.1,FBpp0099852.1
FBgn0041707.1,FBtr0301640.1,FBpp0100150.1
FBgn0041707.1,FBtr0078789.1,FBpp0078435.1
FBgn0001311.1,FBtr0301398.1,FBpp0290640.1
FBgn0001311.1,FBtr0078798.1,FBpp0078442.1
FBgn0001311.1,FBtr0078800.1,FBpp0089164.1
FBgn0037320.1,FBtr0078801.1,FBpp0078444.1
FBgn0011965.1,FBtr0078790.1,
FBgn0264712.1,FBtr0078792.1,FBpp0078436.1
FBgn0264712.1,FBtr0333810.1,FBpp0305944.1
FBgn0264712.1,FBtr0309312.1,FBpp0301220.1
FBgn0037322.1,FBtr0078797.1,FBpp0078441.1
FBgn0037323.1,FBtr0078795.1,FBpp0078439.1
FBgn0037323.1,FBtr0344832.1,FBpp0311147.1
FBgn0037324.1,FBtr0078794.1,FBpp0078438.1
FBgn0037324.1,FBtr0113193.1,FBpp0112105.1
FBgn0037326.1,FBtr0078679.1,FBpp0078328.1
FBgn0037326.1,FBtr0334742.1,FBpp0306785.1
FBgn0037326.1,FBtr0339972.1,FBpp0308993.1
FBgn0037326.1,FBtr0347006.1,FBpp0312438.1
FBgn0037325.1,FBtr0078793.1,FBpp0078437.1
FBgn0037327.1,FBtr0330026.1,FBpp0303059.1
FBgn0037327.1,FBtr0078770.1,FBpp0078417.1
FBgn0037327.1,FBtr0330027.1,FBpp0303060.1
FBgn0037328.1,FBtr0078769.1,FBpp0078416.1
FBgn0037329.1,FBtr0078680.1,FBpp0078329.1
FBgn0037329.1,FBtr0078681.1,FBpp0078330.1
FBgn0037330.1,FBtr0078768.1,FBpp0078415.1
FBgn0011715.1,FBtr0078682.1,FBpp0078331.1
FBgn0025825.1,FBtr0078767.1,FBpp0078414.1
FBgn0266539.1,FBtr0344635.1,FBpp0310952.1
FBgn0037332.1,FBtr0345254.1,FBpp0311431.1
FBgn0037332.1,FBtr0345253.1,FBpp0311430.1
FBgn0037332.1,FBtr0078683.1,FBpp0078332.1
FBgn0037332.1,FBtr0336769.1,FBpp0307745.1
FBgn0015402.1,FBtr0344273.1,FBpp0310678.1
FBgn0015402.1,FBtr0344272.1,FBpp0310677.1
FBgn0015402.1,FBtr0078766.1,FBpp0078413.1
FBgn0015402.1,FBtr0344274.1,FBpp0310679.1
FBgn0051550.1,FBtr0078684.1,FBpp0078333.1
FBgn0051550.1,FBtr0113409.1,FBpp0112321.1
FBgn0051550.1,FBtr0336770.1,FBpp0307746.1
FBgn0051550.1,FBtr0078685.1,FBpp0078334.1
FBgn0051547.1,FBtr0078764.1,FBpp0078411.1
FBgn0051547.1,FBtr0078765.1,FBpp0078412.1
FBgn0010399.1,FBtr0078763.1,FBpp0078410.1
FBgn0010051.1,FBtr0078687.1,FBpp0078336.1
FBgn0010051.1,FBtr0344265.1,FBpp0310670.1
FBgn0010051.1,FBtr0078686.1,FBpp0078335.1
FBgn0264427.1,FBtr0332546.1,
FBgn0264427.1,FBtr0332547.1,
FBgn0037336.1,FBtr0078761.1,FBpp0078408.1
FBgn0037336.1,FBtr0336771.1,FBpp0307747.1
FBgn0037336.1,FBtr0078762.1,FBpp0078409.1
FBgn0014342.1,FBtr0089313.1,FBpp0088355.1
FBgn0014342.1,FBtr0300009.1,FBpp0289286.1
FBgn0014342.1,FBtr0346136.1,FBpp0311964.1
FBgn0086768.1,FBtr0078758.1,FBpp0078405.1
FBgn0086768.1,FBtr0339519.1,FBpp0308602.1
FBgn0037338.1,FBtr0078688.1,FBpp0078337.1
FBgn0037339.1,FBtr0078755.1,FBpp0078404.1
FBgn0037339.1,FBtr0078756.1,FBpp0089178.1
FBgn0037339.1,FBtr0078757.1,FBpp0089179.1
FBgn0263484.1,FBtr0309783.1,
FBgn0037340.1,FBtr0336763.1,FBpp0307739.1
FBgn0037340.1,FBtr0078754.1,FBpp0078403.1
FBgn0037341.1,FBtr0078692.1,FBpp0078341.1
FBgn0037341.1,FBtr0078689.1,FBpp0078338.1
FBgn0037341.1,FBtr0290215.1,FBpp0288654.1
FBgn0037342.1,FBtr0078753.1,FBpp0078402.1
FBgn0041191.1,FBtr0078694.1,FBpp0078343.1
FBgn0041191.1,FBtr0078693.1,FBpp0078342.1
FBgn0023023.1,FBtr0089685.1,FBpp0088627.1
FBgn0023023.1,FBtr0114453.1,FBpp0112945.1
FBgn0023023.1,FBtr0089686.1,FBpp0088628.1
FBgn0037344.1,FBtr0078752.1,FBpp0078401.1
FBgn0037344.1,FBtr0336762.1,FBpp0307738.1
FBgn0037345.1,FBtr0078699.1,FBpp0078348.1
FBgn0014366.1,FBtr0078751.1,FBpp0078400.1
FBgn0015324.1,FBtr0346137.1,FBpp0311965.1
FBgn0015324.1,FBtr0078701.1,FBpp0078350.1
